MONTH,DAY,WEEKDAY,AIRLINE,ORG_AIR,DEST_AIR,SCHED_DEP,DEP_DELAY,AIR_TIME,DIST,SCHED_ARR,ARR_DELAY,DIVERTED,CANCELLED
1,1,4,WN,LAX,SLC,1625,58.0,94.0,590,1905,65.0,0,0
1,1,4,UA,DEN,IAD,823,7.0,154.0,1452,1333,-13.0,0,0
1,1,4,MQ,DFW,VPS,1305,36.0,85.0,641,1453,35.0,0,0
1,1,4,AA,DFW,DCA,1555,7.0,126.0,1192,1935,-7.0,0,0
1,1,4,WN,LAX,MCI,1720,48.0,166.0,1363,2225,39.0,0,0
1,1,4,UA,IAH,SAN,1450,1.0,178.0,1303,1620,-14.0,0,0
1,1,4,AA,DFW,MSY,1250,84.0,64.0,447,1410,83.0,0,0
1,1,4,F9,SFO,PHX,1020,-7.0,91.0,651,1315,-6.0,0,0
1,1,4,AA,ORD,STL,1845,-5.0,44.0,258,1950,-5.0,0,0
1,1,4,UA,IAH,SJC,925,3.0,215.0,1608,1136,-14.0,0,0
1,1,4,MQ,DFW,DRO,1335,28.0,104.0,674,1438,28.0,0,0
1,1,4,EV,ORD,JAN,1155,6.0,113.0,677,1403,5.0,0,0
1,1,4,OO,ORD,MSP,1510,2.0,65.0,334,1646,4.0,0,0
1,1,4,EV,ORD,CMH,1010,-2.0,46.0,296,1228,-9.0,0,0
1,1,4,UA,IAH,IND,1426,-1.0,102.0,844,1742,-20.0,0,0
1,1,4,AA,DEN,DFW,1445,-6.0,93.0,641,1745,4.0,0,0
1,1,4,OO,DEN,SGU,1105,21.0,66.0,517,1249,20.0,0,0
1,1,4,NK,DEN,DTW,1952,37.0,124.0,1123,31,54.0,0,0
1,1,4,MQ,ORD,DAY,2220,19.0,37.0,240,23,20.0,0,0
1,1,4,WN,PHX,LAX,1640,51.0,58.0,370,1700,59.0,0,0
1,1,4,WN,ATL,BWI,1115,1.0,76.0,577,1305,-15.0,0,0
1,1,4,UA,ORD,CLE,2102,48.0,47.0,315,2320,41.0,0,0
1,1,4,OO,LAS,LAX,1544,-4.0,39.0,236,1655,-12.0,0,0
1,1,4,WN,ATL,HOU,1555,30.0,113.0,696,1720,18.0,0,0
1,1,4,MQ,DFW,BTR,730,,,383,853,,0,1
1,1,4,OO,ORD,SPI,2110,-4.0,31.0,174,2205,5.0,0,0
1,1,4,AA,LAX,AUS,1430,33.0,157.0,1242,1925,41.0,0,0
1,1,4,OO,IAH,JAC,1104,-1.0,161.0,1265,1316,-1.0,0,0
1,1,4,WN,ATL,MDW,935,1.0,97.0,591,1035,-4.0,0,0
1,1,4,EV,ORD,IND,1025,-6.0,29.0,177,1228,-19.0,0,0
1,1,4,WN,LAS,RNO,1000,-2.0,55.0,345,1120,-13.0,0,0
1,1,4,US,PHX,DEN,1810,29.0,94.0,602,1954,49.0,0,0
1,1,4,AA,PHX,MIA,1559,115.0,230.0,1972,2203,117.0,0,0
1,1,4,AA,IAH,MIA,1935,26.0,115.0,964,2256,21.0,0,0
1,1,4,OO,LAX,LAS,1240,-3.0,42.0,236,1354,-6.0,0,0
1,1,4,US,ORD,PHL,1600,-2.0,80.0,678,1857,-9.0,0,0
1,1,4,AA,DFW,OKC,1345,5.0,35.0,175,1440,6.0,0,0
1,1,4,AA,LAS,DFW,1210,12.0,132.0,1055,1650,17.0,0,0
1,1,4,AS,PHX,SEA,1505,-2.0,155.0,1107,1702,-3.0,0,0
1,1,4,OO,SFO,ABQ,1050,12.0,122.0,896,1411,30.0,0,0
1,1,4,EV,IAH,CLE,1038,-3.0,126.0,1091,1425,-18.0,0,0
1,1,4,AA,DFW,DCA,2010,19.0,126.0,1192,2350,4.0,0,0
1,1,4,OO,LAX,RNO,1215,-5.0,66.0,391,1340,-2.0,0,0
1,1,4,WN,LAS,SJC,945,-2.0,58.0,386,1110,-14.0,0,0
1,1,4,UA,ORD,PIT,1312,3.0,56.0,413,1543,-7.0,0,0
1,1,4,UA,ORD,TPA,929,0.0,131.0,1012,1312,-10.0,0,0
1,1,4,AA,ORD,SAN,1235,-6.0,237.0,1723,1455,-16.0,0,0
1,1,4,AA,DFW,IND,1625,40.0,89.0,761,1925,27.0,0,0
1,1,4,AA,DFW,SAT,1725,0.0,54.0,247,1830,9.0,0,0
1,1,4,US,IAH,PHX,1445,-1.0,147.0,1009,1638,-7.0,0,0
1,1,4,MQ,ORD,CID,1135,-7.0,37.0,196,1238,-15.0,0,0
1,1,4,OO,PHX,SLC,950,,,507,1138,,0,1
1,1,4,OO,DEN,FSD,1950,127.0,74.0,483,2218,165.0,0,0
1,1,4,DL,LAS,MSP,713,-5.0,156.0,1299,1220,-18.0,0,0
1,1,4,OO,SFO,MCI,1717,91.0,184.0,1499,2253,84.0,0,0
1,1,4,AA,LAS,DFW,1535,56.0,129.0,1055,2015,49.0,0,0
1,1,4,VX,LAS,SFO,900,23.0,65.0,414,1035,11.0,0,0
1,1,4,DL,MSP,RSW,700,-1.0,169.0,1416,1130,-20.0,0,0
1,1,4,OO,SFO,SBP,1857,-1.0,47.0,190,2002,-3.0,0,0
1,1,4,WN,DEN,PHX,1420,0.0,97.0,602,1610,5.0,0,0
1,1,4,MQ,DFW,CRP,1455,22.0,70.0,354,1608,44.0,0,0
1,1,4,OO,SFO,ASE,1630,-6.0,120.0,848,1945,-3.0,0,0
1,1,4,AA,ORD,LGA,1040,13.0,84.0,733,1340,-9.0,0,0
1,1,4,OO,LAX,PHX,2021,-2.0,65.0,370,2242,5.0,0,0
